feature,mean_abs_shap
usd_broad_diff,0.0035723246960940396
breakeven_10yr,0.002467152973546215
usd_ema_cross,0.001770376031502303
fed_funds_rate,0.0014936327569202957
usd,0.0013348875595785546
crude_imports_mbpd,0.0010131239912161518
tips_10yr_diff,0.0008789661697071578
usd_broad,0.0008380653040510016
crude_stocks_mbbl_diff,0.000742249919133492
umich_sentiment,0.0006134343488831423
sp500_diff,0.0005127873324000519
tips_10yr,0.0005124046209388863
cot_net_long,0.0004905255925084157
sp500,0.0004203389363381602
eia_surprise_norm,0.00033829012399037075
crude_stocks_mbbl,0.0003382472047379652
crude_production_mbpd,0.00031068186195699286
refinery_util_pct,0.00027854434463434833
cot_change_4w,0.00023204487971139007
crude_stocks_change,0.00016692901591365016
eia_surprise,0.00013948495705739484
cot_long_pct,0.0001223143398843199
crude_production_mbpd_diff,0.0001030328419575176
crude_imports_mbpd_diff,9.529046878022855e-05
cot_change_1w,8.932895032007216e-05
cot_net_long_change,6.450107972658156e-05
fed_funds_rate_diff,5.4019895364028605e-05
umich_sentiment_diff,0.0
